,popularity,release_date,title,overview,vote_average,vote_count,original_language,original_title,release_month,release_year
6,105.354,8/12/2022,Gabriel's Rapture: Part III,"In the sixth installment of the Gabriel's Inferno series, Julia deals with the aftermath of Gabriel's departure, while Gabriel goes on a journey of self-discovery. Will they reunite and be able to repair what is broken?",8.8,18,en,Gabriel's Rapture: Part III,August,2022.0
11,1506.48,7/29/2022,Purple Hearts,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.",8.6,1026,en,Purple Hearts,July,2022.0
16,1590.428,12/15/2021,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",8.0,14626,en,Spider-Man: No Way Home,December,2021.0
37,848.034,11/24/2021,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",7.7,7122,en,Encanto,November,2021.0
42,176.033,3/4/2022,Tyson's Run,"When fifteen-year-old Tyson attends public school for the first time, his life is changed forever. While helping his father clean up after the football team, Tyson befriends champion marathon runner Aklilu. Never letting his autism hold him back, Tyson becomes determined to run his first marathon in hopes of winning his father's approval.  With the help of an unlikely friend and his parents, Tyson learns that with faith in yourself and the courage to take the first step, anything is possible.",8.4,38,en,Tyson's Run,March,2022.0
45,641.864,12/1/2021,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",8.0,3040,en,Sing 2,December,2021.0
48,312.966,3/24/2022,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",8.3,1293,en,Everything Everywhere All at Once,March,2022.0
57,4440.063,5/24/2022,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",8.3,1885,en,Top Gun: Maverick,May,2022.0
58,558.326,6/12/1987,Predator,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,7.5,6364,en,Predator,June,1987.0
64,549.518,11/20/1990,Predator 2,A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,6.2,2446,en,Predator 2,November,1990.0
68,507.932,9/30/2021,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",7.0,7800,en,Venom: Let There Be Carnage,September,2021.0
72,12286.389,8/2/2022,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",8.2,2137,en,Prey,August,2022.0
73,501.535,9/12/2021,The Desperate Hour,A woman desperately races to save her child after police place her hometown on lockdown due to an active shooter incident.,6.2,212,en,The Desperate Hour,September,2021.0
81,469.673,9/5/2018,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",5.6,3856,en,The Predator,September,2018.0
82,388.491,7/2/2021,The Tomorrow War,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",8.0,5690,en,The Tomorrow War,July,2021.0
83,432.198,4/25/2018,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.3,25160,en,Avengers: Infinity War,April,2018.0
87,3368.568,8/5/2022,Luck,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",8.2,325,en,Luck,August,2022.0
89,449.042,9/1/2021,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,7.7,6990,en,Shang-Chi and the Legend of the Ten Rings,September,2021.0
90,462.768,7/3/2010,Predators,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,6.2,3294,en,Predators,July,2010.0
91,481.375,7/1/2021,The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,7.5,2016,en,The Boss Baby: Family Business,July,2021.0
93,456.4,5/26/2021,Cruella,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",8.1,7350,en,Cruella,May,2021.0
94,416.264,12/25/2007,Aliens vs Predator: Requiem,"The iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever—in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms—the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.",5.1,2262,en,Aliens vs Predator: Requiem,December,2007.0
95,414.066,12/10/2021,American Sicario,"The story of the rise and fall of the first American-born drug lord in Mexico, this tale of power, money, greed and betrayal amongst rival members of the drug cartels finds American gangster Erik Vasquez scheming to become the top dog in the Mexican underworld, only to find himself making enemies out of both the powerful cartels and his own allies.",5.9,72,en,American Sicario,December,2021.0
101,409.775,9/1/2021,After We Fell,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",7.2,1835,en,After We Fell,September,2021.0
105,406.522,11/3/2021,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",7.1,6066,en,Eternals,November,2021.0
107,389.165,11/24/2021,Resident Evil: Welcome to Raccoon City,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",6.1,1764,en,Resident Evil: Welcome to Raccoon City,November,2021.0
108,354.568,12/10/2009,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.5,25861,en,Avatar,December,2009.0
109,364.65,4/7/2021,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",7.2,4798,en,Mortal Kombat,April,2021.0
111,3232.759,6/22/2022,The Black Phone,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",8.0,1771,en,The Black Phone,June,2022.0
