rank,title,studio,release,index,gross
1,Spider-Man: No Way Home,Sony Pictures Entertainment (SPE),Dec 17,0,"$572,984,769"
2,Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,Sep 3,2,"$224,543,292"
3,Venom: Let There Be Carnage,Sony Pictures Entertainment (SPE),Oct 1,4,"$212,609,036"
4,Black Widow,Walt Disney Studios Motion Pictures,Jul 9,6,"$183,651,655"
5,F9: The Fast Saga,Universal Pictures,Jun 25,8,"$173,005,945"
6,Eternals,Walt Disney Studios Motion Pictures,Nov 5,10,"$164,616,321"
7,No Time to Die,Metro-Goldwyn-Mayer (MGM),Oct 8,12,"$160,772,007"
8,A Quiet Place Part II,Paramount Pictures,May 28,14,"$160,072,261"
9,Ghostbusters: Afterlife,Sony Pictures Entertainment (SPE),Nov 19,16,"$122,378,960"
10,Free Guy,20th Century Studios,Aug 13,18,"$121,626,598"
11,Jungle Cruise,Walt Disney Studios Motion Pictures,Jul 30,20,"$116,987,516"
12,Godzilla vs. Kong,Warner Bros.,Mar 31,22,"$99,597,705"
13,Dune,Warner Bros.,Oct 22,24,"$93,404,911"
14,Halloween Kills,Universal Pictures,Oct 15,26,"$92,002,155"
15,Encanto,Walt Disney Studios Motion Pictures,Nov 24,28,"$90,628,329"
16,Cruella,Walt Disney Studios Motion Pictures,May 28,30,"$86,103,234"
17,Sing 2,Universal Pictures,Dec 22,32,"$74,883,155"
18,Space Jam: A New Legacy,Warner Bros.,Jul 16,34,"$67,559,184"
19,The Conjuring: The Devil Made Me Do It,Warner Bros.,Jun 4,36,"$65,579,078"
20,Candyman,Universal Pictures,Aug 27,38,"$61,186,570"
21,The Boss Baby 2: Family Business,Universal Pictures,Jul 2,40,"$57,300,280"
22,The Addams Family 2,United Artists Releasing,Oct 1,42,"$56,489,153"
23,The Suicide Squad,Warner Bros.,Aug 6,44,"$55,812,663"
24,Raya and the Last Dragon,Walt Disney Studios Motion Pictures,Mar 5,46,"$54,723,032"
25,Demon Slayer the Movie: Mugen Train,FUNimation Entertainment,Apr 23,48,"$49,505,008"
26,Clifford the Big Red Dog,Paramount Pictures,Nov 10,50,"$48,947,356"
27,House of Gucci,United Artists Releasing,Nov 24,52,"$48,417,498"
28,Old,Universal Pictures,Jul 23,54,"$48,242,510"
29,Tom & Jerry,Warner Bros.,Feb 26,56,"$46,318,441"
30,The Forever Purge,Universal Pictures,Jul 2,58,"$44,539,245"
31,Peter Rabbit 2: The Runaway,Sony Pictures Entertainment (SPE),Jun 11,60,"$40,501,717"
32,PAW Patrol: The Movie,Paramount Pictures,Aug 20,62,"$40,127,371"
33,Hitman's Wife's Bodyguard,Lionsgate,Jun 16,64,"$38,014,727"
34,Mortal Kombat,Warner Bros.,Apr 23,66,"$37,479,648"
35,Don't Breathe 2,Screen Gems,Aug 13,68,"$32,712,950"
36,In the Heights,Warner Bros.,Jun 11,70,"$29,914,684"
37,Snake Eyes,Paramount Pictures,Jul 23,72,"$28,264,325"
38,West Side Story,20th Century Studios,Dec 10,74,"$28,169,248"
39,The Matrix Resurrections,Warner Bros.,Dec 22,76,"$28,134,634"
40,Wrath of Man,United Artists Releasing,May 7,78,"$27,466,489"
41,Nobody,Universal Pictures,Mar 26,80,"$27,268,035"
42,The Croods: A New Age,Universal Pictures,Nov 25,82,"$26,234,535"
43,Escape Room: Tournament of Champions,Sony Pictures Entertainment (SPE),Jul 16,84,"$25,314,753"
44,Respect,Metro-Goldwyn-Mayer (MGM),Aug 13,86,"$24,278,399"
45,Wonder Woman 1984,Warner Bros.,Dec 25,88,"$23,773,929"
46,Spiral,Lionsgate,May 14,90,"$23,216,862"
47,Ron's Gone Wrong,20th Century Studios,Oct 22,92,"$23,009,270"
48,Spirit Untamed,Universal Pictures,Jun 4,94,"$17,635,215"
49,The Green Knight,A24,Jul 30,96,"$17,173,321"
50,Resident Evil: Welcome to Raccoon City,Screen Gems,Nov 24,98,"$16,923,891"
51,The King's Man,20th Century Studios,Dec 22,100,"$16,258,724"
52,The French Dispatch,Searchlight Pictures,Oct 22,102,"$15,976,770"
53,The Marksman,Open Road Films (II),Jan 15,104,"$15,566,093"
54,The Unholy,Screen Gems,Apr 2,106,"$15,532,137"
55,The Little Things,Warner Bros.,Jan 29,108,"$15,340,534"
56,Dear Evan Hansen,Universal Pictures,Sep 24,110,"$15,002,646"
57,King Richard,Warner Bros.,Nov 19,112,"$14,721,229"
58,Stillwater,Focus Features,Jul 30,114,"$14,465,535"
59,Christmas with the Chosen: The Messengers,Fathom Events,Dec 1,116,"$13,728,000"
60,Malignant,Warner Bros.,Sep 10,118,"$13,351,893"
61,Chaos Walking,Lionsgate,Mar 5,120,"$13,287,908"
62,My Hero Academia: World Heroes' Mission,FUNimation Entertainment,Oct 29,122,"$12,271,658"
63,American Underdog,Lionsgate,Dec 25,124,"$12,213,600"
64,The Last Duel,20th Century Studios,Oct 15,126,"$10,853,945"
65,Antlers,Searchlight Pictures,Oct 29,128,"$10,619,670"
66,Cry Macho,Warner Bros.,Sep 17,130,"$10,183,309"
67,Monster Hunter,Screen Gems,Dec 18,132,"$10,144,067"
68,Last Night in Soho,Focus Features,Oct 29,134,"$10,127,625"
69,News of the World,Universal Pictures,Dec 25,136,"$8,951,155"
70,The Many Saints of Newark,Warner Bros.,Oct 1,138,"$7,628,768"
